 Run sigma_oos_scan_0: 
Flux Objective for exact coils     : 1.835e-05
Out-of-sample flux value                  : 2.392e-05
Objective Gradient (||∇J||)              : 1.836e-04
Mean Flux Objective across perturbed coils: 1.577e-04
Quality Number: 0.767
<B_N>/<|B|> = 2.87e-03

Decoupled sigma_OOS scan (training sigma fixed at 5.0000e-03):
  sigma_OOS = 1.0000e-03  J_OOS = 2.3918e-05  Q = 0.7671
  sigma_OOS = 1.5000e-03  J_OOS = 3.0878e-05  Q = 0.5942
  sigma_OOS = 2.0000e-03  J_OOS = 4.0609e-05  Q = 0.4518
  sigma_OOS = 2.5000e-03  J_OOS = 5.3241e-05  Q = 0.3446
  sigma_OOS = 3.0000e-03  J_OOS = 6.8511e-05  Q = 0.2678
  sigma_OOS = 3.5000e-03  J_OOS = 8.6638e-05  Q = 0.2118
  sigma_OOS = 4.0000e-03  J_OOS = 1.0762e-04  Q = 0.1705
  sigma_OOS = 4.5000e-03  J_OOS = 1.3140e-04  Q = 0.1396
  sigma_OOS = 5.0000e-03  J_OOS = 1.5857e-04  Q = 0.1157
